File	Result	Solver	Time	Ackermann
/1/foobar.txt.0	0m0,061s	Z3	unsat	Yes
/1/foobar.txt.0	0m0,058s	Z3	unsat	No
/1/foobar.txt.0	0m0,094s	cvc5	unsat	Yes
/1/foobar.txt.0	0m0,094s	cvc5	unsat	No
/1/foobar.txt.0	0m0,068s	mathSAT	unsat	Yes
/1/foobar.txt.0	0m0,068s	mathSAT	unsat	No

/1/foobar.txt.1	0m0,104s	Z3	unsat	Yes
/1/foobar.txt.1	0m0,095s	Z3	unsat	No
/1/foobar.txt.1	0m0,150s	cvc5	unsat	Yes
/1/foobar.txt.1	0m0,149s	cvc5	unsat	No
/1/foobar.txt.1	0m0,102s	mathSAT	unsat	Yes
/1/foobar.txt.1	0m0,103s	mathSAT	unsat	No

/1/foobar.txt.10	0m14,987s	Z3	unsat	Yes
/1/foobar.txt.10	0m14,960s	Z3	unsat	No
/1/foobar.txt.10	0m56,514s	cvc5	unsat	Yes
/1/foobar.txt.10	0m55,613s	cvc5	unsat	No
/1/foobar.txt.10	0m7,182s	mathSAT	unsat	Yes
/1/foobar.txt.10	0m6,801s	mathSAT	unsat	No

/1/foobar.txt.11	0m11,810s	Z3	sat	Yes
/1/foobar.txt.11	0m11,625s	Z3	sat	No
/1/foobar.txt.11	1m55,096s	cvc5	sat	Yes
/1/foobar.txt.11	1m54,666s	cvc5	sat	No
/1/foobar.txt.11	0m8,950s	mathSAT	sat	Yes
/1/foobar.txt.11	0m9,135s	mathSAT	sat	No

/1/foobar.txt.2	0m0,171s	Z3	unsat	Yes
/1/foobar.txt.2	0m0,167s	Z3	unsat	No
/1/foobar.txt.2	0m0,358s	cvc5	unsat	Yes
/1/foobar.txt.2	0m0,350s	cvc5	unsat	No
/1/foobar.txt.2	0m0,164s	mathSAT	unsat	Yes
/1/foobar.txt.2	0m0,162s	mathSAT	unsat	No

/1/foobar.txt.3	0m0,227s	Z3	unsat	Yes
/1/foobar.txt.3	0m0,224s	Z3	unsat	No
