File	Time	Result	Ackermann	Solver
/1/foobar.txt.0	0m0,028s	unsat	Yes	Z3
/1/foobar.txt.0	0m0,015s	unsat	No	Z3
/1/foobar.txt.0	0m0,005s	unsat	Yes	cvc5
/1/foobar.txt.0	0m0,006s	unsat	No	cvc5
/1/foobar.txt.0	0m0,009s	unsat	Yes	mathSAT
/1/foobar.txt.0	0m0,012s	unsat	No	mathSAT

/1/foobar.txt.1	0m0,041s	unsat	Yes	Z3
/1/foobar.txt.1	0m0,027s	unsat	No	Z3
/1/foobar.txt.1	0m0,013s	unsat	Yes	cvc5
/1/foobar.txt.1	0m0,015s	unsat	No	cvc5
/1/foobar.txt.1	0m0,009s	unsat	Yes	mathSAT
/1/foobar.txt.1	0m0,010s	unsat	No	mathSAT

/1/foobar.txt.10	0m0,429s	sat	Yes	Z3
/1/foobar.txt.10	0m0,413s	sat	No	Z3
/1/foobar.txt.10	0m1,201s	sat	Yes	cvc5
/1/foobar.txt.10	0m1,255s	sat	No	cvc5
/1/foobar.txt.10	0m1,487s	sat	Yes	mathSAT
/1/foobar.txt.10	0m1,483s	sat	No	mathSAT

/1/foobar.txt.2	0m0,033s	unsat	Yes	Z3
/1/foobar.txt.2	0m0,020s	unsat	No	Z3
/1/foobar.txt.2	0m0,017s	unsat	Yes	cvc5
/1/foobar.txt.2	0m0,018s	unsat	No	cvc5
/1/foobar.txt.2	0m0,009s	unsat	Yes	mathSAT
/1/foobar.txt.2	0m0,013s	unsat	No	mathSAT

/1/foobar.txt.3	0m0,060s	unsat	Yes	Z3
/1/foobar.txt.3	0m0,026s	unsat	No	Z3
/1/foobar.txt.3	0m0,036s	unsat	Yes	cvc5
/1/foobar.txt.3	0m0,027s	unsat	No	cvc5
/1/foobar.txt.3	0m0,015s	unsat	Yes	mathSAT
/1/foobar.txt.3	0m0,016s	unsat	No	mathSAT

/1/foobar.txt.4	0m0,050s	unsat	Yes	Z3
/1/foobar.txt.4	0m0,029s	unsat	No	Z3
/1/foobar.txt.4	0m0,071s	unsat	Yes	cvc5
/1/foobar.txt.4	0m0,072s	unsat	No	cvc5
/1/foobar.txt.4	0m0,028s	unsat	Yes	mathSAT
/1/foobar.txt.4	0m0,029s	unsat	No	mathSAT

/1/foobar.txt.5	0m0,070s	unsat	Yes	Z3
/1/foobar.txt.5	0m0,049s	unsat	No	Z3
/1/foobar.txt.5	0m0,119s	unsat	Yes	cvc5
/1/foobar.txt.5	0m0,119s	unsat	No	cvc5
/1/foobar.txt.5	0m0,092s	unsat	Yes	mathSAT
/1/foobar.txt.5	0m0,092s	unsat	No	mathSAT

/1/foobar.txt.6	0m0,081s	unsat	Yes	Z3
/1/foobar.txt.6	0m0,072s	unsat	No	Z3
/1/foobar.txt.6	0m0,266s	unsat	Yes	cvc5
/1/foobar.txt.6	0m0,260s	unsat	No	cvc5
/1/foobar.txt.6	0m0,153s	unsat	Yes	mathSAT
/1/foobar.txt.6	0m0,152s	unsat	No	mathSAT

/1/foobar.txt.7	0m0,113s	unsat	Yes	Z3
/1/foobar.txt.7	0m0,098s	unsat	No	Z3
/1/foobar.txt.7	0m0,508s	unsat	Yes	cvc5
/1/foobar.txt.7	0m0,515s	unsat	No	cvc5
/1/foobar.txt.7	0m0,273s	unsat	Yes	mathSAT
/1/foobar.txt.7	0m0,272s	unsat	No	mathSAT

/1/foobar.txt.8	0m0,282s	unsat	Yes	Z3
/1/foobar.txt.8	0m0,273s	unsat	No	Z3
/1/foobar.txt.8	0m1,082s	unsat	Yes	cvc5
/1/foobar.txt.8	0m1,046s	unsat	No	cvc5
/1/foobar.txt.8	0m0,375s	unsat	Yes	mathSAT
/1/foobar.txt.8	0m0,377s	unsat	No	mathSAT

/1/foobar.txt.9	0m0,500s	unsat	Yes	Z3
/1/foobar.txt.9	0m0,332s	unsat	No	Z3
/1/foobar.txt.9	0m2,069s	unsat	Yes	cvc5
/1/foobar.txt.9	0m2,029s	unsat	No	cvc5
/1/foobar.txt.9	0m0,793s	unsat	Yes	mathSAT
/1/foobar.txt.9	0m0,801s	unsat	No	mathSAT

/2/foobar.txt.0	0m0,192s	unsat	Yes	Z3
/2/foobar.txt.0	0m0,027s	unsat	No	Z3
/2/foobar.txt.0	0m0,007s	unsat	Yes	cvc5
/2/foobar.txt.0	0m0,010s	unsat	No	cvc5
/2/foobar.txt.0	0m0,007s	unsat	Yes	mathSAT
/2/foobar.txt.0	0m0,005s	unsat	No	mathSAT

/2/foobar.txt.1	0m0,045s	unsat	Yes	Z3
/2/foobar.txt.1	0m0,021s	unsat	No	Z3
/2/foobar.txt.1	0m0,009s	unsat	Yes	cvc5
/2/foobar.txt.1	0m0,009s	unsat	No	cvc5
/2/foobar.txt.1	0m0,005s	unsat	Yes	mathSAT
/2/foobar.txt.1	0m0,006s	unsat	No	mathSAT

/2/foobar.txt.10	0m0,509s	unsat	Yes	Z3
/2/foobar.txt.10	0m0,479s	unsat	No	Z3
/2/foobar.txt.10	0m5,243s	unsat	Yes	cvc5
/2/foobar.txt.10	0m5,232s	unsat	No	cvc5
/2/foobar.txt.10	0m5,493s	unsat	Yes	mathSAT
/2/foobar.txt.10	0m5,443s	unsat	No	mathSAT

/2/foobar.txt.11	0m4,566s	unsat	Yes	Z3
/2/foobar.txt.11	0m4,530s	unsat	No	Z3
/2/foobar.txt.11	0m8,010s	unsat	Yes	cvc5
/2/foobar.txt.11	0m8,177s	unsat	No	cvc5
/2/foobar.txt.11	0m11,204s	unsat	Yes	mathSAT
/2/foobar.txt.11	0m11,283s	unsat	No	mathSAT

/2/foobar.txt.12	0m8,474s	unsat	Yes	Z3
/2/foobar.txt.12	0m8,445s	unsat	No	Z3
/2/foobar.txt.12	0m35,732s	unsat	Yes	cvc5
/2/foobar.txt.12	0m35,320s	unsat	No	cvc5
/2/foobar.txt.12	0m16,558s	unsat	Yes	mathSAT
/2/foobar.txt.12	0m16,535s	unsat	No	mathSAT

/2/foobar.txt.13	0m27,970s	unsat	Yes	Z3
/2/foobar.txt.13	0m27,996s	unsat	No	Z3
/2/foobar.txt.13	1m2,703s	unsat	Yes	cvc5
/2/foobar.txt.13	1m2,802s	unsat	No	cvc5
/2/foobar.txt.13	1m8,008s	unsat	Yes	mathSAT
/2/foobar.txt.13	1m8,155s	unsat	No	mathSAT

/2/foobar.txt.2	0m0,182s	unsat	Yes	Z3
/2/foobar.txt.2	0m0,019s	unsat	No	Z3
/2/foobar.txt.2	0m0,017s	unsat	Yes	cvc5
/2/foobar.txt.2	0m0,018s	unsat	No	cvc5
