File | Time | Result | Ackermann
/home/josu/Documents/PhD/SMT/petrobras/D3/execute_all.sh | 0m0,022s |  | Yes
/home/josu/Documents/PhD/SMT/petrobras/D3/execute_all.sh | 0m0,018s |  | No

/home/josu/Documents/PhD/SMT/petrobras/D3/foobar.txt.0 | 0m0,185s | unsat | Yes
/home/josu/Documents/PhD/SMT/petrobras/D3/foobar.txt.0 | 0m0,027s | unsat | No

/home/josu/Documents/PhD/SMT/petrobras/D3/foobar.txt.1 | 0m0,090s | unsat | Yes
/home/josu/Documents/PhD/SMT/petrobras/D3/foobar.txt.1 | 0m0,078s | unsat | No

/home/josu/Documents/PhD/SMT/petrobras/D3/foobar.txt.10 | 0m27,179s | unsat | Yes
/home/josu/Documents/PhD/SMT/petrobras/D3/foobar.txt.10 | 0m27,059s | unsat | No

/home/josu/Documents/PhD/SMT/petrobras/D3/foobar.txt.11 | 1m5,112s | unsat | Yes
/home/josu/Documents/PhD/SMT/petrobras/D3/foobar.txt.11 | 1m7,225s | unsat | No

/home/josu/Documents/PhD/SMT/petrobras/D3/foobar.txt.2 | 0m0,316s | unsat | Yes
/home/josu/Documents/PhD/SMT/petrobras/D3/foobar.txt.2 | 0m0,161s | unsat | No

/home/josu/Documents/PhD/SMT/petrobras/D3/foobar.txt.3 | 0m0,422s | unsat | Yes
/home/josu/Documents/PhD/SMT/petrobras/D3/foobar.txt.3 | 0m0,400s | unsat | No

/home/josu/Documents/PhD/SMT/petrobras/D3/foobar.txt.4 | 0m0,604s | unsat | Yes
/home/josu/Documents/PhD/SMT/petrobras/D3/foobar.txt.4 | 0m0,577s | unsat | No

/home/josu/Documents/PhD/SMT/petrobras/D3/foobar.txt.5 | 0m0,875s | unsat | Yes
/home/josu/Documents/PhD/SMT/petrobras/D3/foobar.txt.5 | 0m0,831s | unsat | No

/home/josu/Documents/PhD/SMT/petrobras/D3/foobar.txt.6 | 0m1,937s | unsat | Yes
/home/josu/Documents/PhD/SMT/petrobras/D3/foobar.txt.6 | 0m1,959s | unsat | No

/home/josu/Documents/PhD/SMT/petrobras/D3/foobar.txt.7 | 0m2,880s | unsat | Yes
/home/josu/Documents/PhD/SMT/petrobras/D3/foobar.txt.7 | 0m2,660s | unsat | No

/home/josu/Documents/PhD/SMT/petrobras/D3/foobar.txt.8 | 0m5,545s | unsat | Yes
/home/josu/Documents/PhD/SMT/petrobras/D3/foobar.txt.8 | 0m5,329s | unsat | No

/home/josu/Documents/PhD/SMT/petrobras/D3/foobar.txt.9 | 0m10,439s | unsat | Yes
/home/josu/Documents/PhD/SMT/petrobras/D3/foobar.txt.9 | 0m10,319s | unsat | No

/home/josu/Documents/PhD/SMT/petrobras/D3/output_table_D3.txt | 0m0,168s |  | Yes
/home/josu/Documents/PhD/SMT/petrobras/D3/output_table_D3.txt | 0m0,013s |  | No

/home/josu/Documents/PhD/SMT/petrobras/D3/output_table.txt | 0m0,012s |  | Yes
/home/josu/Documents/PhD/SMT/petrobras/D3/output_table.txt | 0m0,019s |  | No

