File | Time | Result | Ackermann

foobar.0 | 0m0,185s | unsat | Yes
foobar.0 | 0m0,027s | unsat | No

foobar.1 | 0m0,090s | unsat | Yes
foobar.1 | 0m0,078s | unsat | No

foobar.10 | 0m27,179s | unsat | Yes
foobar.10 | 0m27,059s | unsat | No

foobar.11 | 1m5,112s | unsat | Yes
foobar.11 | 1m7,225s | unsat | No

foobar.2 | 0m0,316s | unsat | Yes
foobar.2 | 0m0,161s | unsat | No

foobar.3 | 0m0,422s | unsat | Yes
foobar.3 | 0m0,400s | unsat | No

foobar.4 | 0m0,604s | unsat | Yes
foobar.4 | 0m0,577s | unsat | No

foobar.5 | 0m0,875s | unsat | Yes
foobar.5 | 0m0,831s | unsat | No

foobar.6 | 0m1,937s | unsat | Yes
foobar.6 | 0m1,959s | unsat | No

foobar.7 | 0m2,880s | unsat | Yes
foobar.7 | 0m2,660s | unsat | No

foobar.8 | 0m5,545s | unsat | Yes
foobar.8 | 0m5,329s | unsat | No

foobar.9 | 0m10,439s | unsat | Yes
foobar.9 | 0m10,319s | unsat | No

