File | Time | Result | Ackermann

foobar0.txt | 0m0,030s | unsat | Yes
foobar0.txt | 0m0,024s | unsat | No

foobar1.txt | 0m0,042s | unsat | Yes
foobar1.txt | 0m0,040s | unsat | No

foobar10.txt | 0m8,507s | unsat | Yes
foobar10.txt | 0m8,484s | unsat | No

foobar11.txt | 0m57,113s | unsat | Yes
foobar11.txt | 0m56,751s | unsat | No

foobar2.txt | 0m0,066s | unsat | Yes
foobar2.txt | 0m0,064s | unsat | No

foobar3.txt | 0m0,106s | unsat | Yes
foobar3.txt | 0m0,106s | unsat | No

foobar4.txt | 0m0,171s | unsat | Yes
foobar4.txt | 0m0,173s | unsat | No

foobar5.txt | 0m0,231s | unsat | Yes
foobar5.txt | 0m0,229s | unsat | No

foobar6.txt | 0m0,360s | unsat | Yes
foobar6.txt | 0m0,364s | unsat | No

foobar7.txt | 0m0,721s | unsat | Yes
foobar7.txt | 0m0,751s | unsat | No

foobar8.txt | 0m1,088s | unsat | Yes
foobar8.txt | 0m1,081s | unsat | No

foobar9.txt | 0m3,063s | unsat | Yes
foobar9.txt | 0m3,052s | unsat | No

