File	Result	Solver	Time	Ackermann
/D1/foobar.txt.0	0m0,027s	Z3	unsat	Yes
/D1/foobar.txt.0	0m0,029s	Z3	unsat	No
/D1/foobar.txt.0	0m0,027s	cvc5	unsat	Yes
/D1/foobar.txt.0	0m0,029s	cvc5	unsat	No
/D1/foobar.txt.0	0m0,027s	mathSAT	unsat	Yes
/D1/foobar.txt.0	0m0,023s	mathSAT	unsat	No

/D1/foobar.txt.1	0m0,035s	Z3	unsat	Yes
/D1/foobar.txt.1	0m0,037s	Z3	unsat	No
/D1/foobar.txt.1	0m0,075s	cvc5	unsat	Yes
/D1/foobar.txt.1	0m0,074s	cvc5	unsat	No
/D1/foobar.txt.1	0m0,027s	mathSAT	unsat	Yes
/D1/foobar.txt.1	0m0,026s	mathSAT	unsat	No

/D1/foobar.txt.2	0m0,066s	Z3	unsat	Yes
/D1/foobar.txt.2	0m0,065s	Z3	unsat	No
/D1/foobar.txt.2	0m0,180s	cvc5	unsat	Yes
/D1/foobar.txt.2	0m0,177s	cvc5	unsat	No
/D1/foobar.txt.2	0m0,061s	mathSAT	unsat	Yes
/D1/foobar.txt.2	0m0,063s	mathSAT	unsat	No

/D1/foobar.txt.3	0m0,107s	Z3	unsat	Yes
/D1/foobar.txt.3	0m0,102s	Z3	unsat	No
/D1/foobar.txt.3	0m0,361s	cvc5	unsat	Yes
/D1/foobar.txt.3	0m0,360s	cvc5	unsat	No
/D1/foobar.txt.3	0m0,085s	mathSAT	unsat	Yes
/D1/foobar.txt.3	0m0,085s	mathSAT	unsat	No

/D1/foobar.txt.4	0m0,124s	Z3	unsat	Yes
/D1/foobar.txt.4	0m0,122s	Z3	unsat	No
/D1/foobar.txt.4	0m0,889s	cvc5	unsat	Yes
/D1/foobar.txt.4	0m0,914s	cvc5	unsat	No
/D1/foobar.txt.4	0m0,187s	mathSAT	unsat	Yes
/D1/foobar.txt.4	0m0,186s	mathSAT	unsat	No

/D1/foobar.txt.5	0m0,445s	Z3	sat	Yes
/D1/foobar.txt.5	0m0,439s	Z3	sat	No
/D1/foobar.txt.5	0m1,512s	cvc5	sat	Yes
/D1/foobar.txt.5	0m1,470s	cvc5	sat	No
/D1/foobar.txt.5	0m0,417s	mathSAT	sat	Yes
/D1/foobar.txt.5	0m0,414s	mathSAT	sat	No

/D2/foobar.txt.0	0m0,021s	Z3	unsat	Yes
/D2/foobar.txt.0	0m0,022s	Z3	unsat	No
/D2/foobar.txt.0	0m0,027s	cvc5	unsat	Yes
/D2/foobar.txt.0	0m0,027s	cvc5	unsat	No
/D2/foobar.txt.0	0m0,026s	mathSAT	unsat	Yes
/D2/foobar.txt.0	0m0,027s	mathSAT	unsat	No

/D2/foobar.txt.1	0m0,039s	Z3	unsat	Yes
/D2/foobar.txt.1	0m0,038s	Z3	unsat	No
/D2/foobar.txt.1	0m0,069s	cvc5	unsat	Yes
/D2/foobar.txt.1	0m0,068s	cvc5	unsat	No
/D2/foobar.txt.1	0m0,028s	mathSAT	unsat	Yes
/D2/foobar.txt.1	0m0,030s	mathSAT	unsat	No

/D2/foobar.txt.10	0m16,051s	Z3	sat	Yes
/D2/foobar.txt.10	0m16,175s	Z3	sat	No
/D2/foobar.txt.10	0m14,371s	cvc5	sat	Yes
/D2/foobar.txt.10	0m14,501s	cvc5	sat	No
/D2/foobar.txt.10	0m2,598s	mathSAT	sat	Yes
/D2/foobar.txt.10	0m2,622s	mathSAT	sat	No

/D2/foobar.txt.2	0m0,067s	Z3	unsat	Yes
/D2/foobar.txt.2	0m0,065s	Z3	unsat	No
/D2/foobar.txt.2	0m0,156s	cvc5	unsat	Yes
/D2/foobar.txt.2	0m0,154s	cvc5	unsat	No
/D2/foobar.txt.2	0m0,050s	mathSAT	unsat	Yes
/D2/foobar.txt.2	0m0,049s	mathSAT	unsat	No

/D2/foobar.txt.3	0m0,115s	Z3	unsat	Yes
/D2/foobar.txt.3	0m0,115s	Z3	unsat	No
/D2/foobar.txt.3	0m0,461s	cvc5	unsat	Yes
/D2/foobar.txt.3	0m0,480s	cvc5	unsat	No
/D2/foobar.txt.3	0m0,116s	mathSAT	unsat	Yes
/D2/foobar.txt.3	0m0,116s	mathSAT	unsat	No

/D2/foobar.txt.4	0m0,163s	Z3	unsat	Yes
/D2/foobar.txt.4	0m0,161s	Z3	unsat	No
/D2/foobar.txt.4	0m0,525s	cvc5	unsat	Yes
/D2/foobar.txt.4	0m0,531s	cvc5	unsat	No
/D2/foobar.txt.4	0m0,244s	mathSAT	unsat	Yes
/D2/foobar.txt.4	0m0,248s	mathSAT	unsat	No

/D2/foobar.txt.5	0m0,250s	Z3	unsat	Yes
/D2/foobar.txt.5	0m0,247s	Z3	unsat	No
/D2/foobar.txt.5	0m1,317s	cvc5	unsat	Yes
/D2/foobar.txt.5	0m1,284s	cvc5	unsat	No
/D2/foobar.txt.5	0m0,305s	mathSAT	unsat	Yes
/D2/foobar.txt.5	0m0,328s	mathSAT	unsat	No

/D2/foobar.txt.6	0m0,515s	Z3	unsat	Yes
/D2/foobar.txt.6	0m0,515s	Z3	unsat	No
/D2/foobar.txt.6	0m2,239s	cvc5	unsat	Yes
/D2/foobar.txt.6	0m2,186s	cvc5	unsat	No
/D2/foobar.txt.6	0m0,768s	mathSAT	unsat	Yes
