File	Time	Result	Ackermann	Solver
/1/foobar.txt.0	0m0,177s	unsat	Yes	Z3
/1/foobar.txt.0	0m0,014s	unsat	No	Z3
/1/foobar.txt.0	0m0,004s	unsat	Yes	cvc5
/1/foobar.txt.0	0m0,004s	unsat	No	cvc5
/1/foobar.txt.0	0m0,004s	unsat	Yes	mathSAT
/1/foobar.txt.0	0m0,007s	unsat	No	mathSAT

/1/foobar.txt.1	0m0,033s	unsat	Yes	Z3
/1/foobar.txt.1	0m0,018s	unsat	No	Z3
/1/foobar.txt.1	0m0,007s	unsat	Yes	cvc5
/1/foobar.txt.1	0m0,012s	unsat	No	cvc5
/1/foobar.txt.1	0m0,008s	unsat	Yes	mathSAT
/1/foobar.txt.1	0m0,006s	unsat	No	mathSAT

/1/foobar.txt.10	0m0,092s	unsat	Yes	Z3
/1/foobar.txt.10	0m0,051s	unsat	No	Z3
/1/foobar.txt.10	0m0,164s	unsat	Yes	cvc5
/1/foobar.txt.10	0m0,163s	unsat	No	cvc5
/1/foobar.txt.10	0m0,084s	unsat	Yes	mathSAT
/1/foobar.txt.10	0m0,083s	unsat	No	mathSAT

/1/foobar.txt.11	0m0,084s	unsat	Yes	Z3
/1/foobar.txt.11	0m0,074s	unsat	No	Z3
/1/foobar.txt.11	0m0,308s	unsat	Yes	cvc5
/1/foobar.txt.11	0m0,311s	unsat	No	cvc5
/1/foobar.txt.11	0m0,115s	unsat	Yes	mathSAT
/1/foobar.txt.11	0m0,114s	unsat	No	mathSAT

/1/foobar.txt.12	0m0,115s	unsat	Yes	Z3
/1/foobar.txt.12	0m0,105s	unsat	No	Z3
/1/foobar.txt.12	0m0,406s	unsat	Yes	cvc5
/1/foobar.txt.12	0m0,402s	unsat	No	cvc5
/1/foobar.txt.12	0m0,189s	unsat	Yes	mathSAT
/1/foobar.txt.12	0m0,189s	unsat	No	mathSAT

/1/foobar.txt.13	0m0,209s	unsat	Yes	Z3
/1/foobar.txt.13	0m0,200s	unsat	No	Z3
/1/foobar.txt.13	0m0,909s	unsat	Yes	cvc5
/1/foobar.txt.13	0m0,900s	unsat	No	cvc5
/1/foobar.txt.13	0m0,412s	unsat	Yes	mathSAT
/1/foobar.txt.13	0m0,411s	unsat	No	mathSAT

/1/foobar.txt.14	0m0,271s	sat	Yes	Z3
/1/foobar.txt.14	0m0,109s	sat	No	Z3
/1/foobar.txt.14	0m1,584s	sat	Yes	cvc5
/1/foobar.txt.14	0m1,587s	sat	No	cvc5
/1/foobar.txt.14	0m0,137s	sat	Yes	mathSAT
/1/foobar.txt.14	0m0,137s	sat	No	mathSAT

/1/foobar.txt.2	0m0,029s	unsat	Yes	Z3
/1/foobar.txt.2	0m0,023s	unsat	No	Z3
/1/foobar.txt.2	0m0,012s	unsat	Yes	cvc5
/1/foobar.txt.2	0m0,012s	unsat	No	cvc5
/1/foobar.txt.2	0m0,006s	unsat	Yes	mathSAT
/1/foobar.txt.2	0m0,006s	unsat	No	mathSAT

/1/foobar.txt.3	0m0,040s	unsat	Yes	Z3
/1/foobar.txt.3	0m0,021s	unsat	No	Z3
/1/foobar.txt.3	0m0,015s	unsat	Yes	cvc5
/1/foobar.txt.3	0m0,014s	unsat	No	cvc5
/1/foobar.txt.3	0m0,007s	unsat	Yes	mathSAT
/1/foobar.txt.3	0m0,007s	unsat	No	mathSAT

/1/foobar.txt.4	0m0,047s	unsat	Yes	Z3
/1/foobar.txt.4	0m0,034s	unsat	No	Z3
/1/foobar.txt.4	0m0,031s	unsat	Yes	cvc5
/1/foobar.txt.4	0m0,028s	unsat	No	cvc5
/1/foobar.txt.4	0m0,011s	unsat	Yes	mathSAT
/1/foobar.txt.4	0m0,010s	unsat	No	mathSAT

/1/foobar.txt.5	0m0,048s	unsat	Yes	Z3
/1/foobar.txt.5	0m0,025s	unsat	No	Z3
/1/foobar.txt.5	0m0,034s	unsat	Yes	cvc5
/1/foobar.txt.5	0m0,032s	unsat	No	cvc5
/1/foobar.txt.5	0m0,014s	unsat	Yes	mathSAT
